leaid11,STNAM,ALL_COHORT_1112,ALL_RATE_1112,GreaterThan90
100005,ALABAMA,268,83,0
100006,ALABAMA,424,79,0
100007,ALABAMA,1042,91,1
100008,ALABAMA,836,91,1
100011,ALABAMA,117,72,0
100012,ALABAMA,155,92,1
100013,ALABAMA,300,93,1
100030,ALABAMA,289,78,0
100060,ALABAMA,109,77,0
100090,ALABAMA,207,65,0
100100,ALABAMA,190,92,1
100120,ALABAMA,225,87,0
100180,ALABAMA,224,63,0
100185,ALABAMA,164,77,0
100210,ALABAMA,489,88,0
100240,ALABAMA,768,81,0
100270,ALABAMA,2321,74,0
100300,ALABAMA,81,62,0
100330,ALABAMA,404,40,0
100360,ALABAMA,268,80,0
100390,ALABAMA,2417,56,0
100420,ALABAMA,630,83,0
100450,ALABAMA,95,87,0
100480,ALABAMA,170,72,0
100510,ALABAMA,307,66,0
100540,ALABAMA,704,81,0
100600,ALABAMA,303,76,0
100630,ALABAMA,305,74,0
100660,ALABAMA,568,76,0
100690,ALABAMA,133,77,0
100720,ALABAMA,293,67,0
100750,ALABAMA,171,77,0
100780,ALABAMA,208,89,0
100810,ALABAMA,161,92,1
100840,ALABAMA,267,63,0
100870,ALABAMA,139,82,0
100900,ALABAMA,92,77,0
100930,ALABAMA,237,81,0
100960,ALABAMA,174,92,1
100990,ALABAMA,231,93,1
101020,ALABAMA,776,80,0
101050,ALABAMA,219,80,0
101080,ALABAMA,86,87,0
101110,ALABAMA,327,71,0
101140,ALABAMA,609,81,0
101170,ALABAMA,712,71,0
101200,ALABAMA,205,88,0
101230,ALABAMA,569,87,0
101260,ALABAMA,69,67,0
101290,ALABAMA,973,74,0
101320,ALABAMA,522,85,0
101350,ALABAMA,326,74,0
101380,ALABAMA,663,82,0
101410,ALABAMA,253,72,0
101440,ALABAMA,195,62,0
101470,ALABAMA,176,77,0
101530,ALABAMA,356,84,0
101560,ALABAMA,206,92,1
101590,ALABAMA,256,85,0
101620,ALABAMA,393,75,0
101640,ALABAMA,96,92,1
101660,ALABAMA,232,79,0
101680,ALABAMA,116,62,0
101690,ALABAMA,135,87,0
101710,ALABAMA,265,71,0
101720,ALABAMA,135,87,0
101730,ALABAMA,249,84,0
101740,ALABAMA,245,70,0
101760,ALABAMA,223,91,1
101770,ALABAMA,486,87,0
101800,ALABAMA,1813,77,0
101830,ALABAMA,398,85,0
101860,ALABAMA,119,87,0
101890,ALABAMA,178,87,0
101920,ALABAMA,2797,81,0
101950,ALABAMA,197,67,0
101980,ALABAMA,49,74.5,0
102010,ALABAMA,659,85,0
102040,ALABAMA,430,86,0
102070,ALABAMA,824,83,0
102100,ALABAMA,732,86,0
102130,ALABAMA,44,84.5,0
102160,ALABAMA,145,67,0
102190,ALABAMA,236,83,0
102220,ALABAMA,1707,76,0
102250,ALABAMA,128,82,0
102310,ALABAMA,309,72,0
102350,ALABAMA,119,62,0
102370,ALABAMA,5366,68,0
102400,ALABAMA,347,76,0
102430,ALABAMA,2137,64,0
102480,ALABAMA,621,78,0
102490,ALABAMA,336,98,1
102520,ALABAMA,223,94,1
102550,ALABAMA,108,95,1
102580,ALABAMA,320,81,0
102610,ALABAMA,108,82,0
102635,ALABAMA,302,90,1
102640,ALABAMA,217,69,0
102650,ALABAMA,316,84,0
102670,ALABAMA,144,92,1
102700,ALABAMA,562,70,0
102730,ALABAMA,221,81,0
102760,ALABAMA,86,92,1
102790,ALABAMA,187,67,0
102820,ALABAMA,182,67,0
102850,ALABAMA,109,92,1
102880,ALABAMA,311,58,0
102910,ALABAMA,157,87,0
102940,ALABAMA,203,79,0
102970,ALABAMA,255,74,0
103000,ALABAMA,95,77,0
103030,ALABAMA,1942,89,0
103062,ALABAMA,708,74,0
103090,ALABAMA,227,73,0
103120,ALABAMA,208,70,0
103150,ALABAMA,193,77,0
103180,ALABAMA,605,81,0
103210,ALABAMA,249,79,0
103240,ALABAMA,148,77,0
103270,ALABAMA,94,72,0
103300,ALABAMA,134,87,0
103330,ALABAMA,198,57,0
103360,ALABAMA,787,71,0
103390,ALABAMA,1267,74,0
103420,ALABAMA,112,82,0
103430,ALABAMA,413,97,1
103450,ALABAMA,647,77,0
103480,ALABAMA,284,85,0
103510,ALABAMA,170,77,0
103540,ALABAMA,80,87,0
103580,ALABAMA,234,85,0
200001,ALASKA,246,44,0
200003,ALASKA,105,42,0
200004,ALASKA,31,34.5,0
200007,ALASKA,20,69.5,0
200010,ALASKA,3,NA,1
200020,ALASKA,102,62,0
200030,ALASKA,16,69.5,0
200050,ALASKA,34,34.5,0
200060,ALASKA,26,80,0
200070,ALASKA,34,74.5,0
200090,ALASKA,41,44.5,0
200100,ALASKA,81,57,0
200120,ALASKA,38,64.5,0
200130,ALASKA,306,73,0
200150,ALASKA,218,77,0
200180,ALASKA,3738,73,0
200210,ALASKA,446,70,0
200240,ALASKA,123,72,0
200270,ALASKA,27,80,0
200300,ALASKA,9,50,0
200360,ALASKA,1,NA,1
200390,ALASKA,779,79,0
200450,ALASKA,15,50,0
200480,ALASKA,230,80,0
200485,ALASKA,22,49.5,0
200510,ALASKA,1413,72,0
200520,ALASKA,42,44.5,0
200525,ALASKA,33,74.5,0
200540,ALASKA,205,27,0
200570,ALASKA,37,54.5,0
200600,ALASKA,1016,70,0
200610,ALASKA,111,57,0
200625,ALASKA,131,52,0
200660,ALASKA,28,80,0
200670,ALASKA,5,NA,1
200680,ALASKA,11,NA,1
200690,ALASKA,5,NA,1
200700,ALASKA,18,69.5,0
200710,ALASKA,55,54.5,0
200715,ALASKA,3,NA,1
200720,ALASKA,46,84.5,0
200730,ALASKA,10,50,0
200760,ALASKA,32,54.5,0
200770,ALASKA,27,49.5,0
200775,ALASKA,16,NA,1
200780,ALASKA,65,92,1
200800,ALASKA,18,69.5,0
200810,ALASKA,31,84.5,0
200840,ALASKA,14,50,0
200862,ALASKA,156,42,0
400001,ARIZONA,437,92,1
400003,ARIZONA,207,72,0
400021,ARIZONA,37,64.5,0
400023,ARIZONA,102,67,0
400026,ARIZONA,42,84.5,0
400082,ARIZONA,500,74,0
400212,ARIZONA,105,87,0
400295,ARIZONA,469,78,0
400450,ARIZONA,1614,82,0
400680,ARIZONA,1153,85,0
400720,ARIZONA,77,72,0
400790,ARIZONA,360,78,0
400910,ARIZONA,25,69.5,0
401000,ARIZONA,23,80,0
401160,ARIZONA,39,74.5,0
401180,ARIZONA,92,72,0
401330,ARIZONA,5,NA,1
401410,ARIZONA,766,86,0
