USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
AL	0100001	Fort Rucker School District	KG	12	233061598	2735224	      89.986	       1.056	 31.409737	 -85.745807                                                                                         
AL	0100003	Maxwell AFB School District	KG	12	8476761	566857	       3.273	       0.219	 32.380944	 -86.363749                                                                                            
AL	0100005	Albertville City School District	KG	12	68731806	258708	      26.537	       0.100	 34.263130	 -86.210660                                                                                      
AL	0100006	Marshall County School District	PK	12	1267334414	103647100	     489.321	      40.018	 34.373997	 -86.344270                                                                                  
AL	0100007	Hoover City School District	KG	12	121282932	2553269	      46.828	       0.986	 33.376949	 -86.805579                                                                                         
AL	0100008	Madison City School District	PK	12	76680381	340948	      29.606	       0.132	 34.710533	 -86.762280                                                                                          
AL	0100011	Leeds City School District	KG	12	60965255	577181	      23.539	       0.223	 33.542049	 -86.565661                                                                                            
AL	0100012	Boaz City School District	PK	12	37683452	161880	      14.550	       0.063	 34.199020	 -86.155151                                                                                             
AL	0100013	Trussville City School District	KG	12	83431415	946273	      32.213	       0.365	 33.637959	 -86.584047                                                                                       
AL	0100030	Alexander City City School District	KG	12	246657204	43855967	      95.235	      16.933	 32.869022	 -85.951083                                                                                
AL	0100060	Andalusia City School District	KG	12	50909462	405912	      19.656	       0.157	 31.309436	 -86.478031                                                                                        
AL	0100090	Anniston City School District	PK	12	118209414	179314	      45.641	       0.069	 33.673440	 -85.810918                                                                                        
AL	0100100	Arab City School District	PK	12	34154363	346373	      13.187	       0.134	 34.332387	 -86.501167                                                                                             
AL	0100120	Athens City School District	KG	12	102349997	656309	      39.518	       0.253	 34.779021	 -86.950799                                                                                          
AL	0100180	Attalla City School District	PK	12	18079281	0	       6.980	       0.000	 33.986189	 -86.121037                                                                                               
AL	0100185	Saraland City School District	KG	12	60112028	441056	      23.209	       0.170	 30.831585	 -88.094117                                                                                         
AL	0100188	Chickasaw City School District	PK	12	10894952	909156	       4.207	       0.351	 30.771450	 -88.079697                                                                                        
AL	0100189	Satsuma City School District	PK	12	19314308	122488	       7.457	       0.047	 30.857874	 -88.063383                                                                                          
AL	0100190	Alabaster City School District	KG	12	63347020	737693	      24.458	       0.285	 33.219442	 -86.823907                                                                                        
AL	0100210	Auburn City School District	PK	12	152375114	2646161	      58.832	       1.022	 32.607722	 -85.489545                                                                                         
AL	0100240	Autauga County School District	KG	12	1539589643	25769317	     594.439	       9.950	 32.532237	 -86.646440                                                                                    
AL	0100270	Baldwin County School District	PK	12	4117584013	1133129224	    1589.808	     437.504	 30.659218	 -87.746067                                                                                  
AL	0100300	Barbour County School District	PK	12	2138003480	14382066	     825.488	       5.553	 31.870253	 -85.405104                                                                                    
AL	0100330	Bessemer City School District	PK	12	104798632	439841	      40.463	       0.170	 33.370789	 -86.971596                                                                                        
AL	0100360	Bibb County School District	KG	12	1612481559	9287974	     622.583	       3.586	 33.015893	 -87.127148                                                                                        
AL	0100390	Birmingham City School District	PK	12	378356937	6591013	     146.084	       2.545	 33.527444	 -86.799047                                                                                     
AL	0100420	Blount County School District	PK	12	1629972369	14927499	     629.336	       5.764	 33.977358	 -86.566440                                                                                     
AL	0100450	Brewton City School District	KG	12	29028375	609964	      11.208	       0.236	 31.109175	 -87.076583                                                                                          
AL	0100480	Bullock County School District	KG	12	1613059135	6055023	     622.806	       2.338	 32.101759	 -85.717261                                                                                     
AL	0100510	Butler County School District	PK	12	2011976232	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                      
AL	0100540	Calhoun County School District	PK	12	1229613200	13906686	     474.756	       5.369	 33.779208	 -85.842799                                                                                    
AL	0100600	Chambers County School District	PK	12	1528841695	17048126	     590.289	       6.582	 32.915504	 -85.394032                                                                                   
AL	0100630	Cherokee County School District	PK	12	1434128031	119806782	     553.720	      46.258	 34.176127	 -85.618196                                                                                  
AL	0100660	Chilton County School District	PK	12	1794482899	20586310	     692.854	       7.948	 32.854051	 -86.726607                                                                                    
AL	0100690	Choctaw County School District	KG	12	2365954971	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                    
AL	0100720	Clarke County School District	PK	12	2933606539	36425277	    1132.672	      14.064	 31.664937	 -87.829263                                                                                     
AL	0100750	Clay County School District	KG	12	1564252367	5284573	     603.961	       2.040	 33.270400	 -85.863525                                                                                        
AL	0100780	Cleburne County School District	PK	12	1323790180	2135809	     511.118	       0.825	 33.650489	 -85.521959                                                                                    
AL	0100810	Coffee County School District	PK	12	1402728351	2358227	     541.596	       0.911	 31.394112	 -85.992594                                                                                      
AL	0100840	Colbert County School District	PK	12	1454506437	79638917	     561.588	      30.749	 34.704012	 -87.813037                                                                                    
AL	0100870	Conecuh County School District	PK	12	2201896058	6643480	     850.157	       2.565	 31.430926	 -86.988722                                                                                     
AL	0100900	Coosa County School District	KG	12	1685891509	39946563	     650.926	      15.423	 32.931445	 -86.243482                                                                                      
AL	0100930	Covington County School District	PK	12	2556671491	31723293	     987.136	      12.248	 31.245364	 -86.455382                                                                                  
AL	0100960	Crenshaw County School District	PK	12	1576887783	5376390	     608.840	       2.076	 31.732826	 -86.319222                                                                                    
AL	0100990	Cullman City School District	KG	12	48734677	3091938	      18.817	       1.194	 34.178892	 -86.841887                                                                                         
AL	0101020	Cullman County School District	PK	12	1854306974	49024423	     715.952	      18.928	 34.131923	 -86.869267                                                                                    
AL	0101050	Dale County School District	KG	12	933234045	588255	     360.324	       0.227	 31.492290	 -85.563272                                                                                          
AL	0101080	Daleville City School District	KG	12	156355638	0	      60.369	       0.000	 31.266699	 -85.738765                                                                                            
AL	0101110	Dallas County School District	KG	12	2499041529	37597534	     964.885	      14.516	 32.333540	 -87.114356                                                                                     
AL	0101140	DeKalb County School District	KG	12	1865622918	3200308	     720.321	       1.236	 34.463314	 -85.812056                                                                                      
AL	0101170	Decatur City School District	PK	12	140137122	17594716	      54.107	       6.793	 34.573321	 -86.992135                                                                                       
AL	0101200	Demopolis City School District	PK	12	45941151	837165	      17.738	       0.323	 32.499938	 -87.825426                                                                                        
AL	0101230	Dothan City School District	PK	12	231582640	876793	      89.415	       0.339	 31.233698	 -85.406823                                                                                          
AL	0101260	Elba City School District	KG	12	217407282	1375445	      83.941	       0.531	 31.429429	 -86.107848                                                                                           
AL	0101290	Elmore County School District	PK	12	1364745254	87688162	     526.931	      33.857	 32.602759	 -86.185308                                                                                     
